StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,Q179,Q67,Q69,Q70,Q71,Q94,Q95_1,Q95_2,Q95_3,Q97_1,Q97_2,Q97_3,Q97_4,Q97_5,Q97_6,Q97_7,Q97_8,Q97_9,Q97_10,Q97_11,Q6,Q16,Q100,Q99,Q102,Q103,Q104,Q105,Q107,Q106,Q108,Q109,Q13,Q14,Q111,Q113,Q115,Q117,Q119,SC0,PROLIFIC_PID,SESSION_ID,STUDY_ID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Informed Consent for the Study on: Personalized Anti-Phishing Intervention Tool



Contact project team:                                   Victor Carles (victor.carles92@gmail.com)

                                                                          Verena Zimmermann (verena.zimmermann@gess.ethz.ch)

                                      

Data Protection Officer ETH Zurich:         Tomislav Mitar (tomislav.mitar@sl.ethz.ch)



We would like to ask you if you are willing to participate in our research project. Your participation is voluntary. Please read the text below carefully and ask the conducting person about anything you do not understand or would like to know.



What is investigated and how?

In the following online survey, we explore the effectiveness of an online phishing intervention tailored to your prior knowledge level with regards to phishing, as well as your e-mail use. 



Who can participate? 

All English-speaking literate people that are at least 18 years old can participate in the research. 



What am I supposed to do as a participant?

You will first be asked to answer some background questions to determine your current phishing knowledge level.  Afterwards, you will receive phishing interventions tailored to your level of knowledge. In the final phase, we will again ask some questions on phishing, as well as on your security and privacy attitudes in general. 



What are my rights during participation?  

Your participation in this study is voluntary. You may withdraw your participation at any time without specifying reasons and without any disadvantages.



You furthermore have the right to have your data set deleted if you wish to later. As we do not collect personally identifiable information, you will be provided a random code at the end of the survey that you can contact us with to identify and delete your data set. 



What risks and benefits can I expect? 

We do not expect any risks that exceed the risks encountered in daily life. The survey is estimated to not exceed a duration of 30 minutes, yet you can pause if needed. 

The phishing emails you see during the study are static images and are unable to cause any harm to your or your devices.



Will I be compensated for participating? 

In line with the recommendations for compensation provided by Prolific, you will receive 6 USD or 4.5 GBP for an estimated duration of 30 minutes.



What data is collected from me and how is it used?



We will collect the following data: 
1. Answers provided in the survey, i.e., the described activities and their ratings as well as provided questionnaire data

2. Demographic information: gender, age range, education, occupation, household living situation
The answers provided in the survey and the demographic information will be stored and analyzed on the servers of the involved research institution, namely the ETH Zürich, Switzerland. Only the involved researchers will have access to individual data. Aggregated results may be published in scientific venues, such as a journal or a scientific conference. 



The data will be stored for 10 years to allow for traceability and replicability of the findings. 



No personally identifiable information such as names or e-mail addresses will be collected. Demographic information will only be published in an aggregated form. The data will initially be screened to anonymize any information that can be personally identifiable prior to any further processing.



Members of the ETH Zurich Ethics Commission may access the original data for examination purposes. Strict confidentiality will be observed at any time.



­What are my rights to my personal data?

By providing the random code provided to you, you can request information about the data collected from you at any time and without giving reasons. You can also request that it be rectified, handed over to you, barred for processing or erased. To do so, please contact the people indicated above.



We follow the data protection regulations of ETH Zürich and applicable national data protection laws such as the Swiss Federal Data Protection Act (FADP).



Who funds this study? 

The study is funded by the Security, Privacy and Society research group at ETH Zurich.



How am I insured?

Adverse health effects that are directly caused by the study and can be demonstrated to be attributable to fault on the part of the project team or ETH Zurich are covered by ETH's liability insurance. You are responsible for insuring yourself against any other adverse health effects such as might occur, for instance, in connection with the trip to or from the place where the study is conducted.



Who reviewed this study? 

This study was examined by the ETH Zurich Ethics Commission as proposal EK-2023-N-108.



Complaints office

The secretariat of the ETH Zurich Ethics Committee is available to help you with complaints in connection with your participation. Contact: ethics@sl.ethz.ch or +41 44 632 85 72.



Consent Form

I, the participant, confirm by selecting the checkbox that


	I have read and understood the study information. My questions have been answered completely and to my satisfaction. 
	I comply with the inclusion and exclusion criteria for participation described above. I am aware of the requirements and restrictions to be observed during the study. 
	I have had enough time to decide about my participation. 
	I participate in this study voluntarily and consent that my personal data be used as described above.
	I understand that I can stop participating at any moment.


If you would like to be informed about the results of this study, please send the researchers a message on Prolific.",What is your Prolific ID? Please note that this response should auto-fill with the correct ID.,How frequently  do you use your mailbox ?,How many emails do you receive on an average work day?,How many spam or promotional emails do you receive on an average day?,Do you use a professional mailbox in the context of your job ?,Have you ever taken part in a security training on phishing?,How would you rate the following aspects? - your knowledge on phishing,How would you rate the following aspects? - your ability to detect phishing e-mails,How would you rate the following aspects? - your level of alertness for phishing attacks,"Please indicate the degree to which you agree or disagree with each statement. In each case, make your choice in terms of how you feel right now, not what you have felt in the past or would like to feel. There are no wrong answers. - It's always safe to click on links in emails from people I know.","Please indicate the degree to which you agree or disagree with each statement. In each case, make your choice in terms of how you feel right now, not what you have felt in the past or would like to feel. There are no wrong answers. - Nothing bad can happen if I click on a link in an email from and unknown sender.","Please indicate the degree to which you agree or disagree with each statement. In each case, make your choice in terms of how you feel right now, not what you have felt in the past or would like to feel. There are no wrong answers. - It's risky to open an email attachment from an unknown sender.","Please indicate the degree to which you agree or disagree with each statement. In each case, make your choice in terms of how you feel right now, not what you have felt in the past or would like to feel. There are no wrong answers. - I don't always click on links in emails just because they come from someone I know.","Please indicate the degree to which you agree or disagree with each statement. In each case, make your choice in terms of how you feel right now, not what you have felt in the past or would like to feel. There are no wrong answers. - If an email from an unknown sender looks interesting, I click on a link within it.","Please indicate the degree to which you agree or disagree with each statement. In each case, make your choice in terms of how you feel right now, not what you have felt in the past or would like to feel. There are no wrong answers. - I don't open email attachments if the sender is unknown to me.","Please indicate the degree to which you agree or disagree with each statement. In each case, make your choice in terms of how you feel right now, not what you have felt in the past or would like to feel. There are no wrong answers. - It can be risky to download files on my work computer.","Please indicate the degree to which you agree or disagree with each statement. In each case, make your choice in terms of how you feel right now, not what you have felt in the past or would like to feel. There are no wrong answers. - Just because I can access a website at work, doesn't mean that it's safe.","Please indicate the degree to which you agree or disagree with each statement. In each case, make your choice in terms of how you feel right now, not what you have felt in the past or would like to feel. There are no wrong answers. - If it helps me to do my job, it doesn't matter what information I put on a website.","Please indicate the degree to which you agree or disagree with each statement. In each case, make your choice in terms of how you feel right now, not what you have felt in the past or would like to feel. There are no wrong answers. - I download any files onto my work computer that will help me get my job done.","Please indicate the degree to which you agree or disagree with each statement. In each case, make your choice in terms of how you feel right now, not what you have felt in the past or would like to feel. There are no wrong answers. - When accessing the Internet at work, I visit any website that I want to.",phishing knowledge | theory,What are the risks of falling victim to a phishing attack?,What is a common type of content found in phishing emails?,"Suppose you have received a mail from paypal asking to reset your password, and the email sender address is one of the following. Which one of these mail addresses looks suspicious ?",Suppose now you have received a mail from Dropbox saying that a user has shared his dropbox with you. Which one of the following mail addresses looks suspicious ?,The following address is suspicious : googleaccountsupport@gsupport.com. Why ?,"Among the following sentences, which one would you be the most susceptible to find in a phishing mail ?",What about these?,What about these?,What about these?,Suppose you have received an email that can contain one of the following links. Which one looks legitimate?,Suppose attached to a mail you have one of the following files. Which one looks legitimate?,phishing knowledge | theory,What should you do as an employee if you suspect a phishing attack?,Would you classify this mail as phishing?,Would you classify it as phishing?,Would you classify it as phishing?,Would you classify it as phishing?,Would you classify this mail as phishing?,score,PROLIFIC_PID,SESSION_ID,STUDY_ID
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID130""}","{""ImportId"":""QID92_TEXT""}","{""ImportId"":""QID71""}","{""ImportId"":""QID73""}","{""ImportId"":""QID74""}","{""ImportId"":""QID75""}","{""ImportId"":""QID98""}","{""ImportId"":""QID99_1""}","{""ImportId"":""QID99_2""}","{""ImportId"":""QID99_3""}","{""ImportId"":""QID101_4""}","{""ImportId"":""QID101_5""}","{""ImportId"":""QID101_6""}","{""ImportId"":""QID101_7""}","{""ImportId"":""QID101_8""}","{""ImportId"":""QID101_9""}","{""ImportId"":""QID101_13""}","{""ImportId"":""QID101_14""}","{""ImportId"":""QID101_15""}","{""ImportId"":""QID101_16""}","{""ImportId"":""QID101_17""}","{""ImportId"":""QID49""}","{""ImportId"":""QID59""}","{""ImportId"":""QID104""}","{""ImportId"":""QID103""}","{""ImportId"":""QID106""}","{""ImportId"":""QID107""}","{""ImportId"":""QID108""}","{""ImportId"":""QID109""}","{""ImportId"":""QID111""}","{""ImportId"":""QID110""}","{""ImportId"":""QID112""}","{""ImportId"":""QID113""}","{""ImportId"":""QID47""}","{""ImportId"":""QID57""}","{""ImportId"":""QID115""}","{""ImportId"":""QID117""}","{""ImportId"":""QID119""}","{""ImportId"":""QID121""}","{""ImportId"":""QID123""}","{""ImportId"":""SC_39MUac2IACWqlVk""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""SESSION_ID""}","{""ImportId"":""STUDY_ID""}"
2023-03-31 14:51:03,2023-03-31 15:53:49,IP Address,128.179.157.182,100,3765,True,2023-03-31 15:53:51,R_vddaHWrxdd4CcFP,,,,,46.5504,6.5517,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
2023-03-31 15:59:59,2023-03-31 16:00:12,Spam,128.179.157.182,100,12,True,2023-03-31 16:00:14,R_8i65zVZrEqcvOMh,,,,,46.5504,6.5517,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
2023-03-31 16:06:58,2023-03-31 16:07:14,Spam,128.179.157.182,100,16,True,2023-03-31 16:07:14,R_1jBAeVGNGYP3Fgj,,,,,46.5504,6.5517,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
2023-03-31 16:07:37,2023-03-31 16:08:19,Spam,128.179.157.182,100,42,True,2023-03-31 16:08:20,R_2VNG9AWpX6WHTLo,,,,,46.5504,6.5517,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
2023-03-31 16:08:50,2023-03-31 16:09:03,Spam,128.179.157.182,100,12,True,2023-03-31 16:09:04,R_2t3SEzBZbIwZw7c,,,,,46.5504,6.5517,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
2023-03-31 16:10:16,2023-03-31 16:10:37,Spam,128.179.157.182,100,20,True,2023-03-31 16:10:38,R_Xu1DSu9oL82Ff2N,,,,,46.5504,6.5517,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
2023-04-03 15:30:37,2023-04-03 15:30:47,IP Address,195.176.112.127,100,10,True,2023-04-03 15:30:48,R_2Euff8SgdUbMoFu,,,,,47.3804,8.5412,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
2023-04-03 15:39:03,2023-04-03 15:39:22,Spam,195.176.112.127,100,18,True,2023-04-03 15:39:22,R_egjuU3EvYP7kXrr,,,,,47.3804,8.5412,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
